label,FURSEM13_NMR_molA,FURSEM13_NMR_molB,FURSEM14_NMR,FURSEM16_NMR,FURSEM17_NMR_molA,FURSEM17_NMR_molB,FURSEM01_NMR_molA,FURSEM01_NMR_molB,FURSEM03_NMR_molA,FURSEM03_NMR_molB,FURSEM02_NMR,FURSEM18_NMR_molA,FURSEM18_NMR_molB,FURSEM15_form1_NMR,FURSEM15_form2_NMR
H1,H27,H7,H17,H11,H37,H11,H21,H43,H43,H19,H21,H21,H43,H33,H37
H2,H23,H25,H21,H13,H35,H9,H19,H41,H41,H17,H13,H19,H41,H37,H41
H3,H21,H11,H25,H5,H33,H7,H17,H39,H39,H15,H9,H17,H39,H41,H33
H4,H13,H17,H9,H9,H31,H17,H13,H35,H33,H9,H5,H15,H25,H13,H13
H5,H15,H19,H13,H7,H29,H19,H15,H37,H31,H7,H7,H13,H37,H9,H9
H6,H31,H29,H29,H17,H27,H5,H3,H25,H25,H1,H3,H1,H23,H17,H17
H7,H5,H9,H5,H3,H23,H1,H5,H27,H29,H5,H13,H9,H33,H1,H1
H8,H1,H3,H1,H1,H25,H3,H11,H33,H27,H3,H11,H11,H35,H5,H5
H9,H37,H43,H37,H15,H39,H13,H7,H29,H35,H11,H17,H5,H29,H21,H21
H10,H41,H39,H41,H19,H41,H15,H9,H31,H37,H13,H19,H7,H31,H25,H25
H11,H35,H33,H33,H21,H43,H21,H1,H23,H23,H21,H15,H3,H27,H29,H29
C1,C47,C25,C37,C21,C37,C39,C23,C47,C45,C21,C23,C23,C47,C1,C45
C2,C41,C43,C41,C23,C45,C43,C21,C45,C43,C19,C21,C21,C45,C41,C41
C3,C39,C33,C45,C15,C47,C41,C19,C43,C41,C17,C19,C19,C43,C45,C1
C4,C45,C29,C17,C17,C27,C15,C17,C41,C39,C15,C17,C17,C41,C29,C29
C5,C35,C37,C33,C19,C13,C31,C15,C39,C37,C13,C15,C15,C39,C37,C37
C6,C19,C17,C21,C11,C21,C7,C3,C27,C25,C1,C3,C3,C27,C33,C33
C7,C21,C31,C5,C9,C9,C11,C5,C29,C35,C11,C5,C5,C29,C5,C5
C8,C5,C15,C13,C13,C35,C19,C7,C31,C33,C9,C7,C7,C31,C17,C17
C9,C3,C27,C29,C5,C33,C29,C9,C33,C31,C7,C9,C9,C33,C21,C21
C10,C1,C7,C1,C1,C25,C23,C11,C35,C29,C5,C11,C11,C35,C13,C13
C11,C13,C23,C25,C3,C1,C5,C1,C25,C27,C3,C1,C1,C25,C9,C9
C12,C11,C9,C9,C7,C17,C3,C13,C37,C47,C23,C13,C13,C37,C25,C25